model,problem_type,problem_name,parallelism_model,response_time,total_tokens,prompt_tokens,source_write_success,did_build,is_source_valid,did_any_run,did_all_run,are_any_valid,are_all_valid,best_runtime,avg_runtime,speedup_2proc,speedup_4proc,num_successful_runs
Gemini Flash,geometry,13_geometry_closest_pair_2d,mpi,,,,True,True,True,True,True,True,True,0.0798727,0.1578228666666666,1.8160235987525224,3.17787930043682,3
Gemini Flash,geometry,13_geometry_closest_pair_2d,serial,,,,True,False,True,False,False,False,False,,,,,0
Gemini Flash,geometry,11_geometry_convex_hull_perimeter,mpi,,,,True,False,True,False,False,False,False,,,,,0
Gemini Flash,geometry,11_geometry_convex_hull_perimeter,serial,,,,True,True,True,True,True,False,False,,,,,0
Gemini Flash,geometry,12_geometry_smallest_triangle,mpi,,,,True,True,True,True,True,True,True,0.0039402,0.0136987833333333,0.1800205596801827,0.2580581780314566,3
Gemini Flash,geometry,12_geometry_smallest_triangle,serial,,,,True,True,True,True,True,True,True,8.4e-09,8.4e-09,,,1
Gemini Flash,geometry,14_geometry_closest_pair_1d,mpi,,,,True,False,True,False,False,False,False,,,,,0
Gemini Flash,geometry,14_geometry_closest_pair_1d,serial,,,,True,True,True,True,True,True,True,0.0009862168,0.0009862168,,,1
Gemini Flash,geometry,10_geometry_convex_hull,mpi,,,,True,False,True,False,False,False,False,,,,,0
Gemini Flash,geometry,10_geometry_convex_hull,serial,,,,True,False,True,False,False,False,False,,,,,0
Gemini Flash,transform,59_transform_map_function,mpi,,,,True,True,True,True,True,True,True,0.00252075,0.0048210166666666,1.4828582714817355,2.829475354557175,3
Gemini Flash,transform,59_transform_map_function,serial,,,,True,True,True,True,True,True,True,0.0056951834,0.0056951834,,,1
Gemini Flash,transform,57_transform_inverse_offset,mpi,,,,True,False,True,False,False,False,False,,,,,0
Gemini Flash,transform,57_transform_inverse_offset,serial,,,,True,True,True,True,True,True,True,0.0005119832,0.0005119832,,,1
Gemini Flash,transform,55_transform_relu,mpi,,,,True,True,True,True,True,True,True,0.00926605,0.0158838833333333,1.7140675377566603,2.616260434597266,3
Gemini Flash,transform,55_transform_relu,serial,,,,True,True,True,True,True,True,True,0.0234432082,0.0234432082,,,1
Gemini Flash,transform,56_transform_negate_odds,mpi,,,,True,True,True,True,True,True,True,0.00217635,0.0028725166666666,1.0185521780006268,1.4934178785581362,3
Gemini Flash,transform,56_transform_negate_odds,serial,,,,True,True,True,True,True,True,True,0.0033880914,0.0033880914,,,1
Gemini Flash,transform,58_transform_squaring,mpi,,,,True,True,True,True,True,True,True,0.000539,0.0007681333333333,0.6345655757004944,0.5884279475982532,3
Gemini Flash,transform,58_transform_squaring,serial,,,,True,True,True,True,True,True,True,0.0006049498,0.0006049498,,,1
Gemini Flash,reduce,26_reduce_product_of_inverses,mpi,,,,True,True,True,True,True,False,False,,,,,0
Gemini Flash,reduce,26_reduce_product_of_inverses,serial,,,,True,True,True,True,True,True,True,4.98e-08,4.98e-08,,,1
Gemini Flash,reduce,27_reduce_average,mpi,,,,True,True,True,True,True,True,True,0.01063405,0.0173412833333333,1.7586579220986962,2.481293580526704,3
Gemini Flash,reduce,27_reduce_average,serial,,,,True,True,True,True,True,True,True,0.0278486002,0.0278486002,,,1
Gemini Flash,reduce,28_reduce_smallest_odd_number,mpi,,,,True,True,True,True,True,True,True,0.0885844,0.0977397666666666,0.9210071312645493,0.8168014103831344,3
Gemini Flash,reduce,28_reduce_smallest_odd_number,serial,,,,True,False,True,False,False,False,False,,,,,0
Gemini Flash,reduce,25_reduce_xor,mpi,,,,True,True,True,True,True,True,True,0.0071121,0.0110561666666666,1.8585031923996755,2.3819968785590757,3
Gemini Flash,reduce,25_reduce_xor,serial,,,,True,True,True,True,True,True,True,0.028494775,0.028494775,,,1
Gemini Flash,reduce,29_reduce_sum_of_min_of_pairs,mpi,,,,True,True,True,True,True,True,True,0.0151919,0.0192369666666666,1.5222980667329302,1.1925599719477733,3
Gemini Flash,reduce,29_reduce_sum_of_min_of_pairs,serial,,,,True,True,True,True,True,True,True,2.46e-08,2.46e-08,,,1
Gemini Flash,dense_la,00_dense_la_lu_decomp,mpi,,,,True,True,True,True,True,True,False,0.1138262,0.1138262,,,1
Gemini Flash,dense_la,00_dense_la_lu_decomp,serial,,,,True,False,True,False,False,False,False,,,,,0
Gemini Flash,dense_la,04_dense_la_gemv,mpi,,,,True,True,True,True,True,True,True,0.0147779,0.0261912,1.7884076594591525,2.7687831153276177,3
Gemini Flash,dense_la,04_dense_la_gemv,serial,,,,True,True,True,True,True,True,True,0.0404654668,0.0404654668,,,1
Gemini Flash,dense_la,02_dense_la_gemm,mpi,,,,True,False,True,False,False,False,False,,,,,0
Gemini Flash,dense_la,02_dense_la_gemm,serial,,,,True,True,True,True,True,True,True,0.0169862332,0.0169862332,,,1
Gemini Flash,dense_la,01_dense_la_solve,mpi,,,,True,False,True,False,False,False,False,,,,,0
Gemini Flash,dense_la,01_dense_la_solve,serial,,,,True,True,True,True,True,True,True,0.115647775,0.115647775,,,1
Gemini Flash,dense_la,03_dense_la_axpy,mpi,,,,True,False,True,False,False,False,False,,,,,0
Gemini Flash,dense_la,03_dense_la_axpy,serial,,,,True,True,True,True,True,True,True,0.009396675,0.009396675,,,1
Gemini Flash,sort,41_sort_k-th_smallest_element,mpi,,,,True,False,True,False,False,False,False,,,,,0
Gemini Flash,sort,41_sort_k-th_smallest_element,serial,,,,True,False,True,False,False,False,False,,,,,0
Gemini Flash,sort,43_sort_sort_an_array_of_structs_by_key,mpi,,,,True,False,True,False,False,False,False,,,,,0
